address	datatype	access	persistence	name	parameter	min	max	default	unit	observed
74	FLOAT	RW/RO	volatile	Aktueller PV-Überschuss					kW	present
76	FLOAT	RW/RO	volatile	Leistung E-Heizstab					kW	present
78	FLOAT	RW/RO	volatile	Aktuelle PV Produktion					kW	present
82	FLOAT	RW/RO	volatile	Hausverbrauch				0	kW	present
84	FLOAT	RW/RO	volatile	Batterieentladung				0	kW	present
86	WORD	RW/RO	volatile	Batteriefüllstand				-1	%	present
1000	FLOAT	RO	volatile	Außentemperatur (B32)					°C	present
1002	FLOAT	RO	volatile	Gemittelte Außentemperatur					°C	present
1004	UCHAR	RO	volatile	Interne Meldung						present
1005	UCHAR	RW	eeprom	Betriebsart System	SYSMODE	0	5	1		present
1006	UCHAR	RO	volatile	Smart Grid Status		0	4			present
1008	FLOAT	RO	volatile	Wärmespeichertemperatur (B38)					°C	present
1010	FLOAT	RO	volatile	Kältespeichertemperatur (B40)					°C	present
1012	FLOAT	RO	volatile	Trinkwassererwärmertemp. unten (B41)					°C	present
1014	FLOAT	RO	volatile	Trinkwassererwärmertemp. oben (B48)					°C	present
1030	FLOAT	RO	volatile	Warmwasserzapftemperatur (B42)					°C	present
1032	UCHAR	RW	eeprom	Warmwasser-Solltemperatur	FW030	35	95	46	°C	present
1033	UCHAR	RW	eeprom	Warmwasserladung Einschalttemperatur	FW027	30	50	46	°C	present
1034	UCHAR	RW	eeprom	Warmwasserladung Ausschalttemperatur	FW028	46	53	50	°C	present
1048	FLOAT	RO	volatile	Aktueller Strompreis						present
1050	FLOAT	RO	volatile	Wärmepumpen Vorlauftemperatur (B33)					°C	present
1052	FLOAT	RO	volatile	Wärmepumpen Rücklauftemperatur (B34)					°C	present
1054	FLOAT	RO	volatile	HGL Vorlauftemperatur (B35)					°C	present
1056	FLOAT	RO	volatile	Wärmequelleneintrittstemperatur (B43)					°C	present
1058	FLOAT	RO	volatile	Wärmequellenaustrittstemperatur (B36)					°C	present
1060	FLOAT	RO	volatile	Luftansaugtemperatur (B37)					°C	present
1062	FLOAT	RO	volatile	Luftwärmetauschertemperatur (B72)					°C	present
1064	FLOAT	RO	volatile	Luftansaugtemperatur 2 (B46)					°C	present
1066	FLOAT	RO	volatile	Ladefühler (B45)					°C	present
1090	UCHAR	RO	volatile	Betriebsart Wärmepumpe		0	8			present
1091	UCHAR	RO	volatile	Heizanforderung		0	1			present
1092	UCHAR	RO	volatile	Kühlanforderung		0	1			present
1093	UCHAR	RO	volatile	Warmwasseranforderung		0	1			present
1098	UCHAR	RO	volatile	EVU - Sperrkontakt		0	1			present
1099	UCHAR	RO	volatile	Summenstörung Wärmepumpe		0	1			present
1100	UCHAR	RO	volatile	Status Verdichter 1		0	1			present
1101	UCHAR	RO	volatile	Status Verdichter 2		0	1			present
1102	UCHAR	RO	volatile	Status Verdichter 3		0	1			present
1103	UCHAR	RO	volatile	Status Verdichter 4		0	1			present
1104	WORD	RO	volatile	Status Ladepumpe (M73)		-1	100		%	present
1105	WORD	RO	volatile	Status Sole/Zwischenkreispumpe (M16)		-1	100		%	present
1106	WORD	RO	volatile	Status Wärmequellen/Grundwasserpumpe (M15)		-1	100		%	present
1108	WORD	RO	volatile	Status ISC Kältespeicherpumpe (M84)		-1	100		%	present
1109	WORD	RO	volatile	Status ISC Rückkühlpumpe (M17)		-1	100		%	present
1110	WORD	RO	volatile	Umschaltventil Heizkreis Heizen/Kühlen (M61)		0	1			present
1111	WORD	RO	volatile	Umschaltventil Speicher Heizen/Kühlen (M62)		0	1			present
1112	WORD	RO	volatile	Umschaltventil Heizen/Warmwasser (M63)		0	1			present
1113	WORD	RO	volatile	Umschaltventil Wärmequelle Heizen/Kühlen (M74)		0	1			present
1114	WORD	RO	volatile	Umschaltventil Solar Heizen/Warmwasser (M78)		0	1			present
1115	WORD	RO	volatile	Umschaltventil Solar Speicher/Wärmequelle (M79)		0	1			present
1116	WORD	RO	volatile	Umschaltventil ISC Wärmequelle /Kältespeicher (M89)		0	1			present
1117	WORD	RO	volatile	Umschaltventil ISC Speicher / Bypass (M99)		0	1			present
1118	WORD	RO	volatile	Zirkulationspumpe (M64)		0	1			present
1120	WORD	RW	eeprom	2. Wärmeerzeuger - Bivalenzpunkt 1	BV002	-90	40		°C	present
1121	WORD	RW	eeprom	2. Wärmeerzeuger - Bivalenzpunkt 2	BV003	-90	40		°C	present
1122	WORD	RW	eeprom	3. Wärmeerzeuger - Bivalenzpunkt 1	BV102	-90	40		°C	present
1123	WORD	RW	eeprom	3. Wärmeerzeuger - Bivalenzpunkt 2	BV103	-90	40		°C	present
1124	UCHAR	RO	volatile	Bivalenz Betriebszustand		0	3			present
1147	UCHAR	RO	volatile	Kaskade / Verfügbare Stufen Heizen		0	20			present
1148	UCHAR	RO	volatile	Kaskade / Verfügbare Stufen Kühlen		0	20			present
1149	UCHAR	RO	volatile	Kaskade / Verfügbare Stufen Warmwasser		0	20			present
1150	UCHAR	RO	volatile	Kaskade / Laufende Stufen Heizen		0	20			present
1151	UCHAR	RO	volatile	Kaskade / Laufende Stufen Kühlen		0	20			present
1152	UCHAR	RO	volatile	Kaskade / Laufende Stufen Warmwasser		0	20			present
1200	FLOAT	RO	volatile	Kaskade / Angeforderte Heiztemperatur					°C	present
1202	FLOAT	RO	volatile	Kaskade / Angeforderte Kühltemperatur					°C	present
1204	FLOAT	RO	volatile	Kaskade / Angeforderte Warmwassertemperatur					°C	present
1206	FLOAT	RO	volatile	Kaskade / Gemittelte Vorlauftemperatur Heizen					°C	present
1208	FLOAT	RO	volatile	Kaskade / Gemittelte Vorlauftemperatur Kühlen					°C	present
1210	FLOAT	RO	volatile	Kaskade / Gemittelte Vorlauftemperatur Warmwasser					°C	present
1220	UCHAR	RW	volatile	Kaskade / Minimale Leistung Heizen	SYSCAMLHM	0	100		%	present
1221	UCHAR	RW	volatile	Kaskade / Maximale Leistung Heizen	SYSCAMLH	0	100		%	present
1222	UCHAR	RW	volatile	Kaskade / Minimale Leistung Kühlen	SYSCAMLCM	0	100		%	present
1223	UCHAR	RW	volatile	Kaskade / Maximale Leistung Kühlen	SYSCAMLC	0	100		%	present
1224	UCHAR	RW	volatile	Kaskade / Minimale Leistung Warmwasser	SYSCAMLPM	0	100		%	present
1225	UCHAR	RW	volatile	Kaskade / Maximale Leistung Warmwasser	SYSCAMLP	0	100		%	present
1226	WORD	RW	volatile	Kaskade / Bivalenzpunkt Heizen Parallel	SYSCAPVTHP	-90	40		°C	present
1227	WORD	RW	volatile	Kaskade / Bivalenzpunkt Heizen Alternativ	SYSCAPVTHA	-90	40		°C	present
1228	WORD	RW	volatile	Kaskade / Bivalenzpunkt Kühlen Parallel	SYSCAPVTCP	-90	40		°C	present
1229	WORD	RW	volatile	Kaskade / Bivalenzpunkt Kühlen Alternativ	SYSCAPVTCA	-90	40		°C	present
1230	WORD	RW	volatile	Kaskade / Bivalenzpunkt Warmwasser	SYSCAPVTPP	-90	40		°C	present
1231	WORD	RW	volatile	Kaskade / Bivalenzpunkt Warmwasser	SYSCAPVTPA	-90	40		°C	present
1350	FLOAT	RO	volatile	Heizkreis A Vorlauftemperatur (B51)					°C	present
1352	FLOAT	RO	volatile	Heizkreis B Vorlauftemperatur (B52)					°C	present
1354	FLOAT	RO	volatile	Heizkreis C Vorlauftemperatur (B53)					°C	present
1356	FLOAT	RO	volatile	Heizkreis D Vorlauftemperatur (B54)					°C	present
1358	FLOAT	RO	volatile	Heizkreis E Vorlauftemperatur (B55)					°C	present
1360	FLOAT	RO	volatile	Heizkreis F Vorlauftemperatur (B56)					°C	present
1362	FLOAT	RO	volatile	Heizkreis G Vorlauftemperatur (B57)					°C	present
1364	FLOAT	RO	volatile	Heizkreis A Raumtemperatur (B61)					°C	present
1366	FLOAT	RO	volatile	Heizkreis B Raumtemperatur (B62)					°C	present
1368	FLOAT	RO	volatile	Heizkreis C Raumtemperatur (B63)					°C	present
1370	FLOAT	RO	volatile	Heizkreis D Raumtemperatur (B64)					°C	present
