page	tag	label	value	unit	captured
Fühlereingänge	B32	Außentemperatur	21.1	°C	2026-09-20T19:47
Fühlereingänge	B38	Wärmespeichertemperatur	21.2	°C	2026-09-20T19:47
Fühlereingänge	B48	TW-Erw. Temp. oben	57.5	°C	2026-09-20T19:47
Fühlereingänge	B41	TW-Erw. Temp.	45.0	°C	2026-09-20T19:47
Fühlereingänge	B71	Heißgastemperatur 1	41.3	°C	2026-09-20T19:47
Fühlereingänge	B37	Ansauglufttemperatur	21.8	°C	2026-09-20T19:47
Fühlereingänge	B79	Verdampferaustritt 1	41.4	°C	2026-09-20T19:47
Fühlereingänge	B78	Verdampfungsdruck 1	8.2	bar	2026-09-20T19:47
Fühlereingänge	B78v	Verdampfungstemp. 1	23.5	°C	2026-09-20T19:47
Fühlereingänge	B86	Kondensationsdruck 1	8.0	bar	2026-09-20T19:47
Fühlereingänge	B86v	Kondensationstemp. 1	22.9	°C	2026-09-20T19:47
Fühlereingänge	B87	Flüssigkeitsleit. Temp.	39.8	°C	2026-09-20T19:47
Fühlereingänge	B45	Ladefühler	24.0	°C	2026-09-20T19:47
Fühlereingänge	B51	Vorlauftemperatur HK A	22.7	°C	2026-09-20T19:47
Fühlereingänge	B53	Vorlauftemperatur HK C	21.8	°C	2026-09-20T19:47
Fühlereingänge	B54	Vorlauftemperatur HK D	22.4	°C	2026-09-20T19:47
Fühlereingänge	B61	Raumtemperatur HK A	23.2	°C	2026-09-20T19:47
Fühlereingänge	B63	Raumtemperatur HK C	23.1	°C	2026-09-20T19:47
Fühlereingänge		Platinentemperatur	28.4	°C	2026-09-20T19:47
Fühlereingänge	B124	Rücklauftemperatur Wärmesenke	27.8	°C	2026-09-20T19:47
Fühlereingänge	B125	Vorlauftemperatur Wärmesenke	27.5	°C	2026-09-20T19:47
Fühlereingänge	B2	Durchfluss Wärmesenke	0.0	l/min	2026-09-20T19:47
Fühlereingänge	B33/B113	Vorlauftemperatur 1 Zwischenkreis	44.4	°C	2026-09-20T19:47
Fühlereingänge	B34/B114	Rücklauftemperatur 1 Zwischenkreis	37.0	°C	2026-09-20T19:47
Fühlereingänge		Batteriespannung Zentraleinheit	3.00	V	2026-09-20T19:47
Analogausgänge	M13	Ventilatordrehzahl 1	0.0	V	2026-09-20T19:48
Analogausgänge	M73	Ladepumpe Wärmesenke Steuersignal	-1.0	%	2026-09-20T19:48
Analogausgänge	M125	Ladepumpe 1 Zwischenkreis Steuersignal	-1.0	%	2026-09-20T19:48
Analogausgänge		AInOut 80-81	0.00	%	2026-09-20T19:48
Analogausgänge		AInOut 82-83	101.41	%	2026-09-20T19:48
Analogausgänge		AInOut 84-85	102.92	%	2026-09-20T19:48
Analogausgänge		AInOut 86-87	0.00	%	2026-09-20T19:48
Analogausgänge		AInOut 88-89	0.00	%	2026-09-20T19:48
Analogausgänge		AInOut 180-181	40.32	%	2026-09-20T19:48
Digitaleingänge		Externe Anforderung	0		2026-09-20T19:48
Digitaleingänge		Ext. Umschaltung H/K	0		2026-09-20T19:48
Digitaleingänge		EW/EVU Sperrkontakt	1		2026-09-20T19:48
Digitaleingänge		ext. Vorrangladung	0		2026-09-20T19:48
Digitaleingänge		internal use	1		2026-09-20T19:48
Digitaleingänge	B15	Störung E-Heizstab	1		2026-09-20T19:48
Digitaleingänge	B5	Taupunktwächter Heizkreis A	1		2026-09-20T19:48
Digitaleingänge	M73	Störung Ladepumpe Wärmesenke	1		2026-09-20T19:48
Digitalausgänge	M1	Verdichter 1	0		2026-09-20T19:49
